date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:10	375/375	---M--	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2010:12:01%20GMT	https://www.activbalance.co.uk/robots.txt		(from )
15:41:14	1278817/1278817	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2010:12:02%20GMT	https://www.activbalance.co.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/www.activbalance.co.uk/index.html	(from )
15:41:15	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.activbalance.co.uk/)
15:41:15	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.activbalance.co.uk/)
15:41:17	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2019%20Oct%202022%2013:32:56%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/polyfill.io/v3/polyfill.mind82c.js	(from https://www.activbalance.co.uk/)
15:41:17	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.activbalance.co.uk/)
15:41:18	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:12:09%20GMT	https://www.activbalance.co.uk/decodeURIComponent(e	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/www.activbalance.co.uk/decodeURIComponent(e.4.delayed	(from https://www.activbalance.co.uk/)
15:41:19	849/849	---M--	200	added ('OK')	text/xml	date:Sat,%2029%20Oct%202022%2010:12:10%20GMT	https://www.activbalance.co.uk/sitemap.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/www.activbalance.co.uk/sitemap.xml	(from https://www.activbalance.co.uk/)
15:41:20	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:12:11%20GMT	https://www.activbalance.co.uk/feed.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/www.activbalance.co.uk/feed.6.delayed	(from https://www.activbalance.co.uk/)
15:41:20	184042/184042	---M-Z	200	added ('OK')	application/javascript	etag:W/%223b3cf8a1dca3a22adc4d2bd4a00c6bf3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9ca6e510.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9ca6e510.bundle.min.js	(from https://www.activbalance.co.uk/)
15:41:20	185000/185000	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ef2b70eef42e4574ae3c41c01b940199%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.cb675ae8.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/static.parastorage.com/services/wix-thunderbolt/dist/main.cb675ae8.bundle.min.js	(from https://www.activbalance.co.uk/)
15:41:21	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.activbalance.co.uk/)
15:41:21	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.activbalance.co.uk/)
15:41:21	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day8/Web26/Site26/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://www.activbalance.co.uk/)
